type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,053913,華新國票97購01,TW19Z0539138,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053914,國巨國票96購08,TW19Z0539146,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053915,光罩國票96購02,TW19Z0539153,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053916,漢唐國票97購04,TW19Z0539161,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053917,友達國票97購03,TW19Z0539179,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053918,美律國票97購01,TW19Z0539187,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053919,可成國票97購02,TW19Z0539195,2019/12/23,上市,,RWSCCA
上市認購(售)權證,05391P,鴻海統一95售12,TW19Z05391P2,2019/11/25,上市,,RWSCPE
上市認購(售)權證,053920,新光金國票98購01,TW19Z0539203,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053921,嘉晶國票97購03,TW19Z0539211,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053922,亞光國票96購01,TW19Z0539229,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053923,亞光國票97購01,TW19Z0539237,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053924,京鼎國票97購01,TW19Z0539245,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053925,群創國票98購01,TW19Z0539252,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053926,晶相光國票97購01,TW19Z0539260,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053927,牧德國票97購01,TW19Z0539278,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053928,智易國票97購03,TW19Z0539286,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053929,正文國票97購01,TW19Z0539294,2019/12/23,上市,,RWSCCA
上市認購(售)權證,05392P,鴻海統一95售13,TW19Z05392P0,2019/11/25,上市,,RWSCPE
上市認購(售)權證,053930,S&P反1統一98購01,TW19Z0539302,2019/12/23,上市,,RWBCCA
上市認購(售)權證,053931,楠梓電統一96購01,TW19Z0539310,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053932,華新科統一96購03,TW19Z0539328,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053933,大立光統一96購06,TW19Z0539336,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053934,A50正2元富96購02,TW19Z0539344,2019/12/23,上市,,RWBCCA
上市認購(售)權證,053935,華通元富96購02,TW19Z0539351,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053936,旺宏元富96購04,TW19Z0539369,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053937,光磊元富96購01,TW19Z0539377,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053938,彩晶元富96購01,TW19Z0539385,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053939,台表科元富96購03,TW19Z0539393,2019/12/23,上市,,RWSCCA
上市認購(售)權證,05393P,鴻海統一95售14,TW19Z05393P8,2019/11/25,上市,,RWSCPE
上市認購(售)權證,053940,康友元富96購01,TW19Z0539401,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053941,國巨國泰96購05,TW19Z0539419,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053942,超眾國泰96購02,TW19Z0539427,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053943,元油反富邦97購03,TW19Z0539435,2019/12/23,上市,,RWBCCA
上市認購(售)權證,053944,亞泥富邦97購01,TW19Z0539443,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053945,國巨富邦98購02,TW19Z0539450,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053946,全新富邦97購02,TW19Z0539468,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053947,義隆富邦97購01,TW19Z0539476,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053948,大立光富邦99購04,TW19Z0539484,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053949,康控富邦9A購01,TW19Z0539492,2019/12/23,上市,,RWSCCA
上市認購(售)權證,05394P,聯詠中信95售02,TW19Z05394P6,2019/11/25,上市,,RWSCPE
上市認購(售)權證,053950,緯穎富邦97購02,TW19Z0539500,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053951,T50反1台新06購02,TW19Z0539518,2019/12/23,上市,,RWBCCE
上市認購(售)權證,053952,南亞科台新96購01,TW19Z0539526,2019/12/23,上市,,RWSCCE
上市認購(售)權證,053953,群創台新97購01,TW19Z0539534,2019/12/23,上市,,RWSCCE
上市認購(售)權證,053954,貿聯康和96購01,TW19Z0539542,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053955,華通永豐96購04,TW19Z0539559,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053956,旺宏永豐96購04,TW19Z0539567,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053957,瑞昱永豐96購01,TW19Z0539575,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053958,京元電永豐96購01,TW19Z0539583,2019/12/23,上市,,RWSCCA
上市認購(售)權證,053959,晶豪科永豐96購02,TW19Z0539591,2019/12/23,上市,,RWSCCA
