type,code,name,ISIN,start,market,group,CFI
上櫃認購(售)權證,70005X,精華元大66展02,TW16Z70005X5,2016/12/19,上櫃,,RWSCCE
上櫃認購(售)權證,702038,中光電台新97購01,TW19Z7020389,2019/01/28,上櫃,,RWSCCE
上櫃認購(售)權證,702039,群聯台新97購01,TW19Z7020397,2019/01/28,上櫃,,RWSCCE
上櫃認購(售)權證,702890,光頡群益8C購01,TW19Z7028903,2019/03/25,上櫃,,RWSCCA
上櫃認購(售)權證,702913,中美晶群益8C購03,TW19Z7029133,2019/03/26,上櫃,,RWSCCA
上櫃認購(售)權證,702914,鈊象群益8C購01,TW19Z7029141,2019/03/26,上櫃,,RWSCCA
上櫃認購(售)權證,702967,先豐群益8C購01,TW19Z7029679,2019/03/28,上櫃,,RWSCCA
上櫃認購(售)權證,702968,金可群益93購01,TW19Z7029687,2019/03/28,上櫃,,RWSCCA
上櫃認購(售)權證,702970,泰博群益8C購02,TW19Z7029703,2019/03/28,上櫃,,RWSCCA
上櫃認購(售)權證,702971,高技群益8C購02,TW19Z7029711,2019/03/28,上櫃,,RWSCCA
上櫃認購(售)權證,702972,富喬群益93購01,TW19Z7029729,2019/03/28,上櫃,,RWSCCA
上櫃認購(售)權證,702973,閎康群益8C購01,TW19Z7029737,2019/03/28,上櫃,,RWSCCA
上櫃認購(售)權證,702974,穩懋群益8C購02,TW19Z7029745,2019/03/28,上櫃,,RWSCCA
上櫃認購(售)權證,703005,中光電群益8C購01,TW19Z7030057,2019/03/29,上櫃,,RWSCCA
上櫃認購(售)權證,703010,牧德群益8C購02,TW19Z7030107,2019/03/29,上櫃,,RWSCCA
上櫃認購(售)權證,703045,直得群益8C購01,TW19Z7030453,2019/04/01,上櫃,,RWSCCA
上櫃認購(售)權證,703047,精測群益8C購01,TW19Z7030479,2019/04/01,上櫃,,RWSCCA
上櫃認購(售)權證,703055,新普群益91購01,TW19Z7030552,2019/04/02,上櫃,,RWSCCA
上櫃認購(售)權證,703093,晟德群益91購01,TW19Z7030933,2019/04/03,上櫃,,RWSCCA
上櫃認購(售)權證,703105,三貝德國泰92購01,TW19Z7031055,2019/04/03,上櫃,,RWSCCA
上櫃認購(售)權證,703108,緯軟國泰92購01,TW19Z7031089,2019/04/03,上櫃,,RWSCCA
上櫃認購(售)權證,703212,晟德群益91購02,TW19Z7032129,2019/04/08,上櫃,,RWSCCA
上櫃認購(售)權證,703274,緯軟國泰93購01,TW19Z7032749,2019/04/10,上櫃,,RWSCCA
上櫃認購(售)權證,703437,信昌電元大91購01,TW19Z7034372,2019/04/19,上櫃,,RWSCCA
上櫃認購(售)權證,703450,智擎群益91購01,TW19Z7034505,2019/04/19,上櫃,,RWSCCA
上櫃認購(售)權證,703512,同致元大91購01,TW19Z7035122,2019/04/23,上櫃,,RWSCCA
上櫃認購(售)權證,703531,昇達科群益94購01,TW19Z7035312,2019/04/23,上櫃,,RWSCCA
上櫃認購(售)權證,703573,力旺群益8C購01,TW19Z7035734,2019/04/25,上櫃,,RWSCCA
上櫃認購(售)權證,703574,中美晶群益8C購06,TW19Z7035742,2019/04/25,上櫃,,RWSCCA
上櫃認購(售)權證,703575,台燿群益91購01,TW19Z7035759,2019/04/25,上櫃,,RWSCCA
上櫃認購(售)權證,703576,由田群益94購01,TW19Z7035767,2019/04/25,上櫃,,RWSCCA
上櫃認購(售)權證,703577,合晶群益8C購03,TW19Z7035775,2019/04/25,上櫃,,RWSCCA
上櫃認購(售)權證,703585,大宇資元大8C購02,TW19Z7035858,2019/04/25,上櫃,,RWSCCA
上櫃認購(售)權證,703601,由田元大8C購03,TW19Z7036013,2019/04/26,上櫃,,RWSCCA
上櫃認購(售)權證,703606,同致中信8C購01,TW19Z7036062,2019/04/29,上櫃,,RWSCCE
上櫃認購(售)權證,703617,禾昌國泰8C購01,TW19Z7036179,2019/04/29,上櫃,,RWSCCA
上櫃認購(售)權證,703633,立端群益91購01,TW19Z7036336,2019/04/30,上櫃,,RWSCCA
上櫃認購(售)權證,703634,神盾群益8C購02,TW19Z7036344,2019/04/30,上櫃,,RWSCCA
上櫃認購(售)權證,703635,合晶台新8C購01,TW19Z7036351,2019/04/30,上櫃,,RWSCCE
